Town.Library,Town
Andover,Andover
Ansonia,Ansonia
Ashford-Babcock,Ashford
Ashford,Ashford
Avon,Avon
Beacon Falls,Beacon Falls
Berlin - East Berlin,Berlin
Berlin Free,Berlin
Berlin-Peck,Berlin
Berlin,Berlin
East Berlin,Berlin
Bethany - Clark,Bethany
Bethany,Bethany
Bethel,Bethel
Bethlehem,Bethlehem
Bloomfield - Prosser,Bloomfield
Bloomfield,Bloomfield
Bolton - Bentley,Bolton
Bolton,Bolton
Branford - Blackstone,Branford
Branford - Willoughby,Branford
Branford,Branford
Bridgeport,Bridgeport
Bridgewater - Burnham,Bridgewater
Bridgewater,Bridgewater
Bridgeport,Bridgeport
Bristol,Bristol
Brookfield,Brookfield
Brooklyn,Brooklyn
Burlington,Burlington
Canaan - David Hunt,Canaan
Canaan,Canaan
Canterbury,Canterbury
Canton,Canton
Chaplin,Chaplin
Cheshire,Cheshire
Chester,Chester
Clinton - Henry C. Hull,Clinton
Clinton,Clinton
Colchester - Cragin,Colchester
Colchester,Colchester
Columbia - S.B. Little,Columbia
Columbia,Columbia
Cornwall,Cornwall
"Cornwall, West",Cornwall
Coventry - Booth Dim,Coventry
Coventry,Coventry
Cromwell,Cromwell
Danbury,Danbury
Darien,Darien
Deep River,Deep River
Derby,Derby
Derby - Derby Neck,Derby
Derby Neck,Derby
Durham,Durham
East Granby,East Granby
East Haddam,East Haddam
East Haddam - Rathbun,East Haddam
E. Haddam - Rathbun,East Haddam
E. Haddam Rathbun,East Haddam
East Hampton,East Hampton
East Hampton - Middle,East Hampton
East Hartford,East Hartford
East Haven - Hagaman,East Haven
East Haven,East Haven
East Lyme,East Lyme
East Windsor - Broad,East Windsor
East Windsor - Warehouse,East Windsor
East Windsor,East Windsor
E. Windsor - Warehouse,East Windsor
Eastford,Eastford
Easton,Easton
Ellington - Hall,Ellington
Ellington,Ellington
Enfield,Enfield
Essex,Essex
Essex - Ivoryton,Essex
Fairfield,Fairfield
Fairfield - Pequot,Fairfield
Farmington,Farmington
Franklin - Janet Carlson,Franklin
Franklin,Franklin
Glastonbury - East,Glastonbury
Glastonbury - Welles T.,Glastonbury
Glastonbury - Welles-T.,Glastonbury
"Glastonbury, South",Glastonbury
Glastonbury,Glastonbury
"Glastonbury, East",Glastonbury
Glastonbury – Wells-T.,Glastonbury
Goshen,Goshen
Granby,Granby
Greenwich,Greenwich
Greenwich - Perrot,Greenwich
Griswold - Slater,Griswold
Griswold,Griswold
Groton,Groton
Groton - Bill,Groton
Groton - Mystic,Groton
Guilford,Guilford
Haddam - Brainerd,Haddam
Haddam,Haddam
Hamden,Hamden
Hampton - Fletcher,Hampton
Hampton,Hampton
Hartford,Hartford
Hartland,Hartland
Harwinton,Harwinton
Hebron - Douglas,Hebron
Hebron,Hebron
Kent,Kent
Killingly,Killingly
Killingworth,Killingworth
Lebanon - JonTrumbull,Lebanon
Lebanon,Lebanon
Ledyard,Ledyard
Litchfield - Gilbert,Litchfield
Litchfield - OWL,Litchfield
Litchfield,Litchfield
Lyme,Lyme
Madison - E.C.Scranton,Madison
Madison,Madison
Manchester,Manchester
